Channel Number,Frequency,Bias Line,Optically Active,Selected
111,4243663250.00005,10,1,1
112,4245431757.81255,10,1,1
113,4247784437.50005,10,1,1
114,4252458171.87505,10,1,1
115,4254078125.00005,-1,0,1
116,4255519531.25005,-1,0,1
117,4257439593.75005,10,1,1
118,4259487351.56255,10,1,1
119,4262244023.43755,-1,0,1
120,4268284968.75005,10,1,1
121,4269593843.75005,10,1,1
122,4271190523.43755,10,1,1
123,4272783296.87505,10,1,1
124,4274441500.00005,10,1,1
125,4276091031.25005,10,1,1
126,4277250210.93755,10,1,1
127,4279500140.62505,10,1,1
128,4282037109.37505,10,1,1
129,4284135835.93755,10,1,1
130,4286446289.06255,10,1,1
131,4288014648.43755,-1,0,1
132,4289448242.18755,10,1,1
133,4291631671.87505,10,1,1
134,4292841632.81255,10,1,1
135,4305995210.93755,-1,0,1
136,4311434992.18756,11,1,1
137,4312806039.06255,11,1,1
138,4313989257.81255,11,1,1
139,4315307757.81255,-1,0,1
140,4317038460.93755,11,1,1
141,4318716890.62505,11,1,1
142,4320589843.75005,-1,0,1
143,4323552945.31255,11,1,1
144,4324514460.93755,-1,0,1
145,4325802546.87505,-1,0,1
146,4327679500.00005,10,1,1
147,4328740445.31255,10,1,1
148,4330160367.18755,10,1,1
149,4332699031.25005,10,1,1
150,4334391601.56255,10,1,1
151,4336389859.37505,-1,0,1
152,4343290156.25005,11,1,1
153,4344828453.12505,11,1,1
154,4345659179.68755,11,1,1
155,4347315109.37506,11,1,1
156,4348616023.43755,11,1,1
157,4350424851.56255,11,1,1
158,4352303945.31255,11,1,1
159,4354984609.37505,-1,0,1
160,4356953382.81255,-1,0,1
161,4357576007.81255,-1,0,1
162,4359075546.87505,-1,0,1
163,4360784179.68755,10,1,1
164,4362119562.50006,10,1,1
165,4364261531.25005,10,1,1
166,4366094726.56255,10,1,1
167,4368167968.75005,10,1,1
168,4379492492.18755,11,1,1
169,4380471351.56255,11,1,1
170,4381581656.25005,11,1,1
171,4383086562.50005,11,1,1
172,4384077148.43755,11,1,1
173,4386114468.75005,11,1,1
174,4387338031.25005,-1,0,1
175,4389407062.50005,11,1,1
176,4391186593.75005,-1,0,1
177,4392706382.81255,-1,0,1
178,4394383460.93755,-1,0,1
179,4396109820.31256,10,1,1
180,4397084312.50005,10,1,1
181,4398369765.62505,10,1,1
182,4400958218.75005,-1,0,1
183,4403544921.87505,10,1,1
184,4405611609.37505,-1,0,1
185,4413085265.62505,11,1,1
186,4414171109.37505,11,1,1
187,4415310921.87505,-1,0,1
188,4416398695.31255,-1,0,1
189,4418080406.25005,11,1,1
190,4420011531.25005,11,1,1
191,4421319453.12505,-1,0,1
192,4423158015.62505,11,1,1
193,4424752625.00005,-1,0,1
194,4426372882.81255,-1,0,1
195,4428358796.87505,10,1,1
196,4429263234.37506,10,1,1
197,4429889312.50004,-1,0,1
198,4432441710.93755,-1,0,1
199,4432863789.06255,10,1,1
200,4435223609.37505,10,1,1
201,4436225796.87505,9,1,1
202,4437834984.37505,10,1,1
203,4438356281.25005,9,1,1
204,4439395273.43755,9,1,1
205,4441306453.12505,9,1,1
206,4443467585.93755,9,1,1
207,4445469703.12505,9,1,1
208,4447821289.06255,9,1,1
209,4450770648.43755,9,1,1
210,4452095820.31255,9,1,1
211,4453914851.56255,-1,0,1
212,4456087492.18755,9,1,1
213,4458495046.87505,9,1,1
214,4460962007.81255,9,1,1
215,4464191078.12505,9,1,1
216,4466857539.06255,9,1,1
217,4467965609.37505,9,1,1
218,4468879859.37505,9,1,1
219,4470548203.12505,9,1,1
220,4471454679.68755,9,1,1
221,4473229656.25005,-1,0,1
222,4475361187.50005,9,1,1
223,4477409531.25005,9,1,1
224,4479641320.31255,9,1,1
225,4482608539.06255,9,1,1
226,4484514460.93755,9,1,1
227,4485832820.31255,9,1,1
228,4488119234.37505,9,1,1
229,4490244773.43756,9,1,1
230,4495358695.31255,9,1,1
